Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
库·丘林〔Alter〕,5,Berserker,"{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '混沌之爪': 3, 'QP': 1600000}","{'狂之秘石': 5, '混沌之爪': 6, 'QP': 4000000}","{'狂之秘石': 12, '凶骨': 15, 'QP': 5000000}","{'凶骨': 29, '蛇之宝玉': 5, 'QP': 10000000}","{'蛇之宝玉': 15, '虚影之尘': 48, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '世界树之种': 6, 'QP': 1600000}","{'狂之秘石': 5, '世界树之种': 12, 'QP': 4000000}","{'狂之秘石': 12, '咒兽胆石': 2, 'QP': 5000000}","{'咒兽胆石': 4, '宵泣之铁桩': 18, 'QP': 10000000}","{'宵泣之铁桩': 54, '赦免的小钟': 72, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
女王梅芙,5,Rider,"{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '凤凰羽毛': 4, 'QP': 1600000}","{'骑之秘石': 5, '凤凰羽毛': 8, 'QP': 4000000}","{'骑之秘石': 12, '蛇之宝玉': 4, 'QP': 5000000}","{'蛇之宝玉': 8, '鬼魂提灯': 6, 'QP': 10000000}","{'鬼魂提灯': 18, '蛮神心脏': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '陨蹄铁': 5, 'QP': 1600000}","{'骑之秘石': 5, '陨蹄铁': 10, 'QP': 4000000}","{'骑之秘石': 12, '精灵根': 2, 'QP': 5000000}","{'精灵根': 4, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '梦幻的鳞粉': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
海伦娜·布拉瓦茨基,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '鬼魂提灯': 4, 'QP': 800000}","{'术之秘石': 4, '鬼魂提灯': 8, 'QP': 2000000}","{'术之秘石': 10, '虚影之尘': 8, 'QP': 2500000}","{'虚影之尘': 16, '黑兽脂': 3, 'QP': 5000000}","{'黑兽脂': 9, '凤凰羽毛': 16, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '禁断书页': 4, 'QP': 800000}","{'术之秘石': 4, '禁断书页': 8, 'QP': 2000000}","{'术之秘石': 10, '人工生命体幼体': 4, 'QP': 2500000}","{'人工生命体幼体': 8, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '真理之卵': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
罗摩,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '蛮神心脏': 2, 'QP': 800000}","{'剑之秘石': 4, '蛮神心脏': 4, 'QP': 2000000}","{'剑之秘石': 10, '世界树之种': 5, 'QP': 2500000}","{'世界树之种': 10, '混沌之爪': 3, 'QP': 5000000}","{'混沌之爪': 9, '凶骨': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'剑之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'剑之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '祸罪之箭头': 5, 'QP': 5000000}","{'祸罪之箭头': 15, '真理之卵': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
李书文,4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'枪之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'枪之秘石': 10, '龙之牙': 10, 'QP': 2500000}","{'龙之牙': 20, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '战马的幼角': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '凶骨': 12, 'QP': 800000}","{'枪之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'枪之秘石': 10, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 5, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '赦免的小钟': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
托马斯·爱迪生,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'术之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'术之秘石': 10, '禁断书页': 4, 'QP': 2500000}","{'禁断书页': 8, '蛮神心脏': 2, 'QP': 5000000}","{'蛮神心脏': 6, '混沌之爪': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '无间齿轮': 4, 'QP': 800000}","{'术之秘石': 4, '无间齿轮': 8, 'QP': 2000000}","{'术之秘石': 10, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 5, '晓光炉心': 3, 'QP': 5000000}","{'晓光炉心': 9, '神脉灵子': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
杰罗尼莫,3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'术之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'术之秘石': 8, '英雄之证': 10, 'QP': 1250000}","{'英雄之证': 20, '凶骨': 12, 'QP': 2500000}","{'凶骨': 36, '精灵根': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '鬼魂提灯': 4, 'QP': 400000}","{'术之秘石': 4, '鬼魂提灯': 7, 'QP': 1000000}","{'术之秘石': 8, '凤凰羽毛': 3, 'QP': 1250000}","{'凤凰羽毛': 6, '振荡火药': 12, 'QP': 2500000}","{'振荡火药': 36, '悠久果实': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
比利小子,3,Archer,"{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '凶骨': 10, 'QP': 400000}","{'弓之秘石': 4, '凶骨': 20, 'QP': 1000000}","{'弓之秘石': 8, '陨蹄铁': 4, 'QP': 1250000}","{'陨蹄铁': 7, '虚影之尘': 8, 'QP': 2500000}","{'虚影之尘': 24, '血之泪石': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '愚者之锁': 10, 'QP': 400000}","{'弓之秘石': 4, '愚者之锁': 20, 'QP': 1000000}","{'弓之秘石': 8, '无间齿轮': 4, 'QP': 1250000}","{'无间齿轮': 7, '振荡火药': 12, 'QP': 2500000}","{'振荡火药': 36, '赦免的小钟': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
贞德〔Alter〕,5,Avenger,"{'龙之牙': 10, 'QP': 200000}","{'凶骨': 10, 'QP': 400000}","{'世界树之种': 12, 'QP': 1200000}","{'禁断书页': 12, 'QP': 1600000}","{'蛇之宝玉': 12, 'QP': 4000000}","{'鬼魂提灯': 15, 'QP': 5000000}","{'战马的幼角': 15, 'QP': 10000000}","{'蛮神心脏': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'英雄之证': 10, 'QP': 200000}","{'愚者之锁': 10, 'QP': 400000}","{'血之泪石': 12, 'QP': 1200000}","{'封魔之灯': 12, 'QP': 1600000}","{'魔术髓液': 12, 'QP': 4000000}","{'宵泣之铁桩': 15, 'QP': 5000000}","{'祸罪之箭头': 15, 'QP': 10000000}","{'赦免的小钟': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
安哥拉曼纽,0,Avenger,"{'英雄之证': 10, 'QP': 20000}","{'虚影之尘': 10, 'QP': 40000}","{'凶骨': 12, 'QP': 120000}","{'人工生命体幼体': 12, 'QP': 160000}","{'鬼魂提灯': 12, 'QP': 400000}","{'无间齿轮': 15, 'QP': 500000}","{'血之泪石': 15, 'QP': 1000000}","{'精灵根': 15, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'人工生命体幼体': 10, 'QP': 20000}","{'万死的毒针': 10, 'QP': 40000}","{'黑兽脂': 12, 'QP': 120000}","{'咒兽胆石': 12, 'QP': 160000}","{'祸罪之箭头': 12, 'QP': 400000}","{'悠久果实': 15, 'QP': 500000}","{'鬼炎鬼灯': 15, 'QP': 1000000}","{'赦免的小钟': 15, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
伊斯坎达尔,5,Rider,"{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '英雄之证': 15, 'QP': 1600000}","{'骑之秘石': 5, '英雄之证': 29, 'QP': 4000000}","{'骑之秘石': 12, '陨蹄铁': 5, 'QP': 5000000}","{'陨蹄铁': 10, '世界树之种': 8, 'QP': 10000000}","{'世界树之种': 22, '凤凰羽毛': 20, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '战马的幼角': 3, 'QP': 1600000}","{'骑之秘石': 5, '战马的幼角': 6, 'QP': 4000000}","{'骑之秘石': 12, '起源的胎毛': 3, 'QP': 5000000}","{'起源的胎毛': 6, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '光银之冠': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
卫宫〔Assassin〕,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '凶骨': 12, 'QP': 800000}","{'杀之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'杀之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '人工生命体幼体': 5, 'QP': 5000000}","{'人工生命体幼体': 15, '蛮神心脏': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '虚影之尘': 8, 'QP': 800000}","{'杀之秘石': 4, '虚影之尘': 16, 'QP': 2000000}","{'杀之秘石': 10, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 5, '振荡火药': 15, 'QP': 5000000}","{'振荡火药': 45, '魔术髓液': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
百貌哈桑,3,Assassin,"{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '八连双晶': 4, 'QP': 400000}","{'杀之秘石': 4, '八连双晶': 7, 'QP': 1000000}","{'杀之秘石': 8, '虚影之尘': 7, 'QP': 1250000}","{'虚影之尘': 13, '凶骨': 12, 'QP': 2500000}","{'凶骨': 36, '混沌之爪': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '蛇之宝玉': 3, 'QP': 400000}","{'杀之秘石': 4, '蛇之宝玉': 6, 'QP': 1000000}","{'杀之秘石': 8, '黑兽脂': 2, 'QP': 1250000}","{'黑兽脂': 4, '宵泣之铁桩': 12, 'QP': 2500000}","{'宵泣之铁桩': 36, '九十九镜': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
爱丽丝菲尔〔天之衣〕,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'术之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'术之秘石': 10, '人工生命体幼体': 4, 'QP': 2500000}","{'人工生命体幼体': 8, '凤凰羽毛': 4, 'QP': 5000000}","{'凤凰羽毛': 12, '精灵根': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '虚影之尘': 8, 'QP': 800000}","{'术之秘石': 4, '虚影之尘': 16, 'QP': 2000000}","{'术之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '悠久果实': 3, 'QP': 5000000}","{'悠久果实': 9, '虹之线球': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
酒吞童子,5,Assassin,"{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '蛇之宝玉': 4, 'QP': 1600000}","{'杀之秘石': 5, '蛇之宝玉': 8, 'QP': 4000000}","{'杀之秘石': 12, '凶骨': 15, 'QP': 5000000}","{'凶骨': 29, '混沌之爪': 4, 'QP': 10000000}","{'混沌之爪': 11, '精灵根': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '鬼魂提灯': 5, 'QP': 1600000}","{'杀之秘石': 5, '鬼魂提灯': 10, 'QP': 4000000}","{'杀之秘石': 12, '血之泪石': 3, 'QP': 5000000}","{'血之泪石': 6, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
玄奘三藏,5,Caster,"{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '八连双晶': 5, 'QP': 1600000}","{'术之秘石': 5, '八连双晶': 10, 'QP': 4000000}","{'术之秘石': 12, '世界树之种': 6, 'QP': 5000000}","{'世界树之种': 12, '陨蹄铁': 6, 'QP': 10000000}","{'陨蹄铁': 18, '禁断书页': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '凤凰羽毛': 4, 'QP': 1600000}","{'术之秘石': 5, '凤凰羽毛': 8, 'QP': 4000000}","{'术之秘石': 12, '精灵根': 2, 'QP': 5000000}","{'精灵根': 4, '闲古铃': 6, 'QP': 10000000}","{'闲古铃': 18, '悠久果实': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
源赖光,5,Berserker,"{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '凶骨': 15, 'QP': 1600000}","{'狂之秘石': 5, '凶骨': 29, 'QP': 4000000}","{'狂之秘石': 12, '混沌之爪': 3, 'QP': 5000000}","{'混沌之爪': 6, '八连双晶': 6, 'QP': 10000000}","{'八连双晶': 18, '精灵根': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '英雄之证': 15, 'QP': 1600000}","{'狂之秘石': 5, '英雄之证': 29, 'QP': 4000000}","{'狂之秘石': 12, '凤凰羽毛': 4, 'QP': 5000000}","{'凤凰羽毛': 8, '枯淡勾玉': 6, 'QP': 10000000}","{'枯淡勾玉': 18, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
坂田金时(Rider),4,Rider,"{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'骑之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'骑之秘石': 10, '世界树之种': 5, 'QP': 2500000}","{'世界树之种': 10, '陨蹄铁': 5, 'QP': 5000000}","{'陨蹄铁': 15, '战马的幼角': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'骑之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'骑之秘石': 10, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 5, '起源的胎毛': 3, 'QP': 5000000}","{'起源的胎毛': 9, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
茨木童子,4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'狂之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'狂之秘石': 10, '八连双晶': 4, 'QP': 2500000}","{'八连双晶': 8, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '血之泪石': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '凶骨': 12, 'QP': 800000}","{'狂之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'狂之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
风魔小太郎,3,Assassin,"{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '虚影之尘': 7, 'QP': 400000}","{'杀之秘石': 4, '虚影之尘': 13, 'QP': 1000000}","{'杀之秘石': 8, '凶骨': 10, 'QP': 1250000}","{'凶骨': 20, '世界树之种': 5, 'QP': 2500000}","{'世界树之种': 15, '混沌之爪': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '八连双晶': 4, 'QP': 400000}","{'杀之秘石': 4, '八连双晶': 7, 'QP': 1000000}","{'杀之秘石': 8, '黑兽脂': 2, 'QP': 1250000}","{'黑兽脂': 4, '闲古铃': 4, 'QP': 2500000}","{'闲古铃': 12, '赦免的小钟': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
奥斯曼狄斯,5,Rider,"{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '蛇之宝玉': 4, 'QP': 1600000}","{'骑之秘石': 5, '蛇之宝玉': 8, 'QP': 4000000}","{'骑之秘石': 12, '愚者之锁': 15, 'QP': 5000000}","{'愚者之锁': 29, '禁断书页': 6, 'QP': 10000000}","{'禁断书页': 18, '封魔之灯': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '鬼魂提灯': 5, 'QP': 1600000}","{'骑之秘石': 5, '鬼魂提灯': 10, 'QP': 4000000}","{'骑之秘石': 12, '智慧之圣甲虫像': 2, 'QP': 5000000}","{'智慧之圣甲虫像': 4, '晓光炉心': 4, 'QP': 10000000}","{'晓光炉心': 11, '神脉灵子': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
阿尔托莉雅·潘德拉贡(Lancer),5,Lancer,"{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '大骑士勋章': 10, 'QP': 1600000}","{'枪之秘石': 5, '大骑士勋章': 20, 'QP': 4000000}","{'枪之秘石': 12, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 24, '陨蹄铁': 6, 'QP': 10000000}","{'陨蹄铁': 18, '蛮神心脏': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '战马的幼角': 3, 'QP': 1600000}","{'枪之秘石': 5, '战马的幼角': 6, 'QP': 4000000}","{'枪之秘石': 12, '龙之逆鳞': 2, 'QP': 5000000}","{'龙之逆鳞': 4, '极光之钢': 6, 'QP': 10000000}","{'极光之钢': 18, '真理之卵': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
尼托克丽丝,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '愚者之锁': 12, 'QP': 800000}","{'术之秘石': 4, '愚者之锁': 24, 'QP': 2000000}","{'术之秘石': 10, '禁断书页': 4, 'QP': 2500000}","{'禁断书页': 8, '蛮神心脏': 2, 'QP': 5000000}","{'蛮神心脏': 6, '凶骨': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '智慧之圣甲虫像': 2, 'QP': 800000}","{'术之秘石': 4, '智慧之圣甲虫像': 4, 'QP': 2000000}","{'术之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '神脉灵子': 5, 'QP': 5000000}","{'神脉灵子': 15, '悠久果实': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
兰斯洛特(Saber),4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '大骑士勋章': 8, 'QP': 800000}","{'剑之秘石': 4, '大骑士勋章': 16, 'QP': 2000000}","{'剑之秘石': 10, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 8, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '血之泪石': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'剑之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'剑之秘石': 10, '龙之逆鳞': 2, 'QP': 2500000}","{'龙之逆鳞': 4, '极光之钢': 5, 'QP': 5000000}","{'极光之钢': 15, '永远结冰': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
崔斯坦,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '凤凰羽毛': 4, 'QP': 800000}","{'弓之秘石': 4, '凤凰羽毛': 7, 'QP': 2000000}","{'弓之秘石': 10, '大骑士勋章': 8, 'QP': 2500000}","{'大骑士勋章': 16, '鬼魂提灯': 5, 'QP': 5000000}","{'鬼魂提灯': 15, '愚者之锁': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '起源的胎毛': 3, 'QP': 800000}","{'弓之秘石': 4, '起源的胎毛': 5, 'QP': 2000000}","{'弓之秘石': 10, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 5, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '虹之线球': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
高文,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '龙之逆鳞': 2, 'QP': 800000}","{'剑之秘石': 4, '龙之逆鳞': 4, 'QP': 2000000}","{'剑之秘石': 10, '八连双晶': 4, 'QP': 2500000}","{'八连双晶': 8, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 36, '精灵根': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '大骑士勋章': 8, 'QP': 800000}","{'剑之秘石': 4, '大骑士勋章': 16, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '巨人的戒指': 5, 'QP': 5000000}","{'巨人的戒指': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
